seed,tree_id,trunk_height,steps,height,crown_volume,crown_radius,asymmetry_radius,consumed_AP,AP_in_growth_radius
5001,0,1.0,541,3.5070956917051674,0.0,0.0,0.0,0,1
5001,1,2.0,541,4.519072951345991,0.0,0.0,0.0,0,9
5001,2,4.0,541,10.044780642091025,40.00302848626278,2.704846973842194,71.89105014220021,47,47
5001,3,6.0,541,12.503963891116298,70.19736631243491,3.354778163070493,29.132849764789885,80,103
5001,4,8.0,541,14.267147115742542,91.63544429794644,3.5211372087868926,22.94126373061811,61,129
5001,5,10.0,541,16.469830710188955,106.89807267538839,3.5718094531160167,38.90391693127652,54,118
5002,0,1.0,535,3.5070956917051674,0.0,0.0,0.0,0,3
5002,1,2.0,535,8.132245198760556,5.858814949010223,2.0687120026187977,15.025528769848693,17,20
5002,2,4.0,535,10.274209498732128,36.27370655949583,3.105517609166655,19.04087262822059,40,58
5002,3,6.0,535,12.732400530239778,65.56498070365242,3.2871764137353394,21.052992548832133,93,132
5002,4,8.0,535,14.456826643831981,108.93858357081983,3.515154726556878,29.463770419334136,63,159
5002,5,10.0,535,16.294430284848996,112.7200191699708,3.899703351405148,56.79727769002201,74,140
5003,0,1.0,536,3.5070956917051674,0.0,0.0,0.0,0,3
5003,1,2.0,536,8.363204866597547,4.444037559525409,1.4610016260406673,4.458832985635217,11,15
5003,2,4.0,536,10.039436484772366,37.01245008548928,2.880921841422683,14.869900132459968,34,44
5003,3,6.0,536,12.722736209228538,51.96611890837273,2.935701890049461,24.306102050957318,75,114
5003,4,8.0,536,14.842493793653711,124.90770928985641,3.839319490569586,21.673212210056857,90,156
5003,5,10.0,536,16.34776184598611,75.17623661571793,2.9112657150347485,18.6672501837187,61,147
5004,0,1.0,538,3.5070956917051674,0.0,0.0,0.0,0,1
5004,1,2.0,538,8.096913018416622,2.1306213888972305,1.3239832297035576,15.131017358423932,6,8
5004,2,4.0,538,10.135793539135788,34.95404724159892,3.0954611683213873,7.985122628253466,32,49
5004,3,6.0,538,12.924008896120455,76.46298067771791,3.531152676883167,20.67589647048445,92,117
5004,4,8.0,538,14.530357044837352,108.29382616844626,3.8022468200583917,26.379125852662177,55,150
5004,5,10.0,538,16.62179429260159,123.15051069055076,3.8331883526649744,32.78561139885125,88,148
5005,0,1.0,536,3.5070956917051674,0.0,0.0,0.0,0,2
5005,1,2.0,536,4.519072951345991,0.0,0.0,0.0,0,23
5005,2,4.0,536,10.358227403332336,52.505601424606304,3.0030757966298327,17.08961570615187,63,75
5005,3,6.0,536,12.96021157133399,83.54561648829582,3.6786705980967103,46.50010992750453,123,152
5005,4,8.0,536,14.388188750500355,71.15772333940747,3.043211138119251,9.008929898507585,49,179
5005,5,10.0,536,16.56610879809578,102.16139211229165,3.52171621640011,62.94372098145955,78,172
5006,0,1.0,536,3.5070956917051674,0.0,0.0,0.0,0,1
5006,1,2.0,536,4.519072951345991,0.0,0.0,0.0,0,13
5006,2,4.0,536,9.92413698738679,49.89421569517543,3.298256602817876,25.253234415639604,41,47
5006,3,6.0,536,12.739988773830374,74.95258815652981,3.1689853186449146,13.916072949040043,88,121
5006,4,8.0,536,14.239174804355923,108.56006389436553,3.5732324332156002,43.96022536101039,55,144
5006,5,10.0,536,16.501886754711023,124.35740241055788,3.716417798377405,37.420971215087,85,143
